,Country/Region,Province/State,Latitude,Longitude
1186,US,Wisconsin,44.2685,-89.6165
1187,US,Nevada,38.3135,-117.0554
1188,US,Maryland,39.0639,-76.8021
1190,US,Oregon,44.572,-122.0709
1191,US,Utah,40.15,-111.8624
1192,US,North Carolina,35.6301,-79.8064
1197,Cyprus,,35.1264,33.4299
1199,US,South Carolina,33.8569,-80.945
1200,Malta,,35.9375,14.3754
1201,US,Connecticut,41.5978,-72.7554
1204,US,Alabama,32.3182,-86.9023
1206,Sri Lanka,,7.8731,80.7718
1208,US,Indiana,39.8494,-86.2583
1210,Moldova,,47.4116,28.3699
1211,US,Iowa,42.0115,-93.2105
1212,Oman,,21.4735,55.9754
1213,US,Arkansas,34.9697,-92.3731
1214,US,District of Columbia,38.8974,-77.0268
1215,Afghanistan,,33.9391,67.71
1216,US,Kentucky,37.6681,-84.6701
1217,US,Rhode Island,41.6809,-71.5118
1218,Tunisia,,33.8869,9.5375
1219,US,Grand Princess,37.6489,-122.6655
1220,China,Qinghai,35.7452,95.9956
1221,Denmark,Faroe Islands,61.8926,-6.9118
1223,Turkey,,38.9637,35.2433
1224,US,Arizona,33.7298,-111.4312
1225,US,Nebraska,41.1254,-98.2681
1226,Jordan,,30.5852,36.2384
1228,US,Maine,44.6939,-69.3819
1229,US,New Hampshire,43.4525,-71.5639
1230,US,New Mexico,34.8405,-106.2485
1231,Venezuela,,6.4238,-66.5897
1233,Burkina Faso,,12.2383,-1.5616
1234,Martinique,,14.6415,-61.0242
1235,Maldives,,3.2028,73.2207
1236,US,Mississippi,32.7416,-89.6787
1237,US,Vermont,44.0459,-72.7107
1238,Bolivia,,-16.2902,-63.5887
1239,China,Macau,22.1667,113.55
1241,French Guiana,,3.9339,-53.1258
1242,US,Kansas,38.5266,-96.7265
1243,Jamaica,,18.1096,-77.2975
1244,Kazakhstan,,48.0196,66.9237
1245,US,Oklahoma,35.5653,-96.9289
1246,US,South Dakota,44.2998,-99.4388
1247,Reunion,,-21.1151,55.5364
1248,Bangladesh,,23.685,90.3563
1250,Paraguay,,-23.4425,-58.4438
1251,US,Delaware,39.3185,-75.5071
1252,Uruguay,,-32.5228,-55.7658
1254,Cambodia,,12.5657,104.991
